timestamp,gps_lon,gps_lat,gps_alt,gps_sat_num,true_lon,true_lat,true_alt
2026-05-17 01:03:34.524621,118.788149,31.943875,37.9,17,118.788134,31.943994,nan
2026-05-17 01:03:35.512774,118.7881492,31.9438748,37.9,17,118.7881112,31.9442367,0.0
2026-05-17 01:03:36.511794,118.7881493,31.943875,37.9,17,118.7881104,31.9442331,0.0
2026-05-17 01:03:37.523064,118.7881495,31.943875,37.9,17,118.788134,31.943994,nan
2026-05-17 01:03:38.509356,118.7881495,31.9438752,37.9,17,118.7881116,31.944221,0.26
2026-05-17 01:03:39.508183,118.7881497,31.9438752,37.9,17,118.7881111,31.9442047,0.0
2026-05-17 01:03:40.509607,118.7881498,31.9438752,37.9,17,118.788134,31.943994,nan
2026-05-17 01:03:41.507227,118.78815,31.943875,37.9,17,118.7881078,31.9442022,0.0
2026-05-17 01:03:42.510435,118.7881502,31.9438748,37.9,17,118.7881054,31.9442066,0.0
2026-05-17 01:03:43.504946,118.7881502,31.9438748,37.9,16,118.788134,31.943994,nan
2026-05-17 01:03:44.515191,118.7881503,31.943875,37.9,16,118.7881061,31.9442001,0.0
2026-05-17 01:03:45.508832,118.7881505,31.9438748,37.9,16,118.7881069,31.9441954,0.0
2026-05-17 01:03:46.514318,118.7881505,31.943875,37.9,16,118.788134,31.943994,nan
2026-05-17 01:03:47.519333,118.7881507,31.943875,37.9,16,118.7881086,31.9441875,0.0
2026-05-17 01:03:48.509810,118.7881508,31.943875,37.9,16,118.7881068,31.9441944,0.0
2026-05-17 01:03:49.507673,118.788151,31.943875,37.9,16,118.788134,31.943994,nan
2026-05-17 01:03:50.521169,118.788151,31.9438752,37.9,16,118.7881067,31.944192,0.0
2026-05-17 01:03:51.516421,118.788151,31.9438752,37.9,16,118.7881057,31.9441964,0.0
2026-05-17 01:03:52.520449,118.7881512,31.9438753,37.9,16,118.788134,31.943994,nan
2026-05-17 01:03:53.518830,118.7881512,31.9438755,37.9,16,118.7881047,31.9442008,0.0
2026-05-17 01:03:54.522069,118.7881512,31.9438757,37.9,16,118.7881036,31.9442058,0.0
2026-05-17 01:03:55.516525,118.7881513,31.9438758,37.9,16,118.788134,31.943994,nan
2026-05-17 01:03:56.510043,118.7881513,31.9438758,37.9,16,118.7881033,31.9442075,0.0
2026-05-17 01:03:57.530104,118.7881447,31.9438697,37.6,16,118.7881033,31.9442076,0.0
2026-05-17 01:03:58.536693,118.7881418,31.9438663,37.5,16,118.788134,31.943994,nan
2026-05-17 01:03:59.534007,118.788144,31.9438652,37.5,16,118.7881036,31.9442061,0.0
2026-05-17 01:04:00.537404,118.7881487,31.9438672,37.6,16,118.7881036,31.9442066,0.0
2026-05-17 01:04:01.510107,118.788148,31.9438672,37.7,16,118.7881035,31.9442071,0.0
2026-05-17 01:04:02.530209,118.7881477,31.9438673,37.7,16,118.788194,31.943885,nan
2026-05-17 01:04:03.528609,118.7881478,31.9438673,37.6,17,118.7881037,31.9442084,0.0
2026-05-17 01:04:04.527504,118.7881482,31.9438673,37.6,17,118.788104,31.9442075,0.0
2026-05-17 01:04:05.510415,118.7881488,31.9438673,37.6,17,118.788194,31.943885,nan
2026-05-17 01:04:06.511126,118.7881495,31.9438675,37.6,17,118.7881077,31.9442018,0.0
2026-05-17 01:04:07.511025,118.78815,31.9438675,37.6,17,118.7881066,31.9442019,0.0
2026-05-17 01:04:08.508721,118.7881505,31.9438677,37.6,17,118.788204,31.943946,nan
2026-05-17 01:04:09.505607,118.788151,31.9438678,37.6,17,118.7881068,31.9442037,0.0
2026-05-17 01:04:10.503292,118.7881517,31.943868,37.5,17,118.788107,31.9442047,0.0
2026-05-17 01:04:11.504736,118.7881522,31.9438683,37.5,17,118.788204,31.943946,nan
2026-05-17 01:04:12.504275,118.7881528,31.9438685,37.5,17,118.7881081,31.9442068,0.0
